sl_no,g_symbol,g_id,g_st,g_ed,strand,trans_id,exon_no,exon_st,exon_ed,exon_sz
149,BRCA1,672,43170327,43044295,minus,NM_001408510.1,12,43074521,43074331,191
150,BRCA1,672,43170327,43044295,minus,NM_001408510.1,13,43071238,43070928,311
151,BRCA1,672,43170327,43044295,minus,NM_001408510.1,14,43067695,43067608,88
152,BRCA1,672,43170327,43044295,minus,NM_001408510.1,15,43063951,43063874,78
153,BRCA1,672,43170327,43044295,minus,NM_001408510.1,16,43063373,43063333,41
154,BRCA1,672,43170327,43044295,minus,NM_001408510.1,17,43057135,43057052,84
155,BRCA1,672,43170327,43044295,minus,NM_001408510.1,18,43051117,43051063,55
156,BRCA1,672,43170327,43044295,minus,NM_001408510.1,19,43049194,43049121,74
157,BRCA1,672,43170327,43044295,minus,NM_001408510.1,20,43047703,43047643,61
158,BRCA1,672,43170327,43044295,minus,NM_001408510.1,21,43045802,43044295,1508
159,BRCA1,672,43170327,43044295,minus,NM_001407885.1,1,43125364,43125277,88
160,BRCA1,672,43170327,43044295,minus,NM_001407885.1,2,43115779,43115726,54
161,BRCA1,672,43170327,43044295,minus,NM_001407885.1,3,43106533,43106478,56
162,BRCA1,672,43170327,43044295,minus,NM_001407885.1,4,43104956,43104868,89
163,BRCA1,672,43170327,43044295,minus,NM_001407885.1,5,43104261,43104122,140
164,BRCA1,672,43170327,43044295,minus,NM_001407885.1,6,43099880,43099775,106
165,BRCA1,672,43170327,43044295,minus,NM_001407885.1,7,43097289,43097244,46
166,BRCA1,672,43170327,43044295,minus,NM_001407885.1,8,43095922,43095846,77
167,BRCA1,672,43170327,43044295,minus,NM_001407885.1,9,43094860,43091435,3426
168,BRCA1,672,43170327,43044295,minus,NM_001407885.1,10,43091032,43090944,89
169,BRCA1,672,43170327,43044295,minus,NM_001407885.1,11,43082575,43082404,172
170,BRCA1,672,43170327,43044295,minus,NM_001407885.1,12,43076614,43076488,127
171,BRCA1,672,43170327,43044295,minus,NM_001407885.1,13,43074521,43074331,191
172,BRCA1,672,43170327,43044295,minus,NM_001407885.1,14,43071238,43070928,311
173,BRCA1,672,43170327,43044295,minus,NM_001407885.1,15,43067695,43067608,88
174,BRCA1,672,43170327,43044295,minus,NM_001407885.1,16,43063951,43063874,78
175,BRCA1,672,43170327,43044295,minus,NM_001407885.1,17,43063373,43063333,41
176,BRCA1,672,43170327,43044295,minus,NM_001407885.1,18,43057135,43057052,84
177,BRCA1,672,43170327,43044295,minus,NM_001407885.1,19,43051117,43051063,55
178,BRCA1,672,43170327,43044295,minus,NM_001407885.1,20,43049194,43049121,74
179,BRCA1,672,43170327,43044295,minus,NM_001407885.1,21,43047703,43047643,61
180,BRCA1,672,43170327,43044295,minus,NM_001407885.1,22,43045802,43044295,1508
181,BRCA1,672,43170327,43044295,minus,NM_001408470.1,1,43125364,43125277,88
182,BRCA1,672,43170327,43044295,minus,NM_001408470.1,2,43115779,43115726,54
183,BRCA1,672,43170327,43044295,minus,NM_001408470.1,3,43106533,43106456,78
184,BRCA1,672,43170327,43044295,minus,NM_001408470.1,4,43104956,43104868,89
185,BRCA1,672,43170327,43044295,minus,NM_001408470.1,5,43104261,43104122,140
186,BRCA1,672,43170327,43044295,minus,NM_001408470.1,6,43099877,43099775,103
187,BRCA1,672,43170327,43044295,minus,NM_001408470.1,7,43097289,43097244,46
188,BRCA1,672,43170327,43044295,minus,NM_001408470.1,8,43095922,43095846,77
189,BRCA1,672,43170327,43044295,minus,NM_001408470.1,9,43094860,43094744,117
190,BRCA1,672,43170327,43044295,minus,NM_001408470.1,10,43091032,43090944,89
191,BRCA1,672,43170327,43044295,minus,NM_001408470.1,11,43082572,43082404,169
192,BRCA1,672,43170327,43044295,minus,NM_001408470.1,12,43076614,43076488,127
193,BRCA1,672,43170327,43044295,minus,NM_001408470.1,13,43074521,43074331,191
194,BRCA1,672,43170327,43044295,minus,NM_001408470.1,14,43071238,43070928,311
195,BRCA1,672,43170327,43044295,minus,NM_001408470.1,15,43067695,43067608,88
196,BRCA1,672,43170327,43044295,minus,NM_001408470.1,16,43063951,43063874,78
197,BRCA1,672,43170327,43044295,minus,NM_001408470.1,17,43063373,43063333,41
198,BRCA1,672,43170327,43044295,minus,NM_001408470.1,18,43057135,43057052,84
199,BRCA1,672,43170327,43044295,minus,NM_001408470.1,19,43051117,43051063,55
200,BRCA1,672,43170327,43044295,minus,NM_001408470.1,20,43049194,43049121,74
201,BRCA1,672,43170327,43044295,minus,NM_001408470.1,21,43047703,43047643,61
202,BRCA1,672,43170327,43044295,minus,NM_001408470.1,22,43045802,43044295,1508
203,BRCA1,672,43170327,43044295,minus,NM_001407848.1,1,43125364,43125277,88
204,BRCA1,672,43170327,43044295,minus,NM_001407848.1,2,43115779,43115726,54
205,BRCA1,672,43170327,43044295,minus,NM_001407848.1,3,43106533,43106456,78
206,BRCA1,672,43170327,43044295,minus,NM_001407848.1,4,43104956,43104868,89
207,BRCA1,672,43170327,43044295,minus,NM_001407848.1,5,43104261,43104122,140
208,BRCA1,672,43170327,43044295,minus,NM_001407848.1,6,43099877,43099775,103
209,BRCA1,672,43170327,43044295,minus,NM_001407848.1,7,43097289,43097244,46
210,BRCA1,672,43170327,43044295,minus,NM_001407848.1,8,43095922,43095846,77
211,BRCA1,672,43170327,43044295,minus,NM_001407848.1,9,43094860,43091435,3426
212,BRCA1,672,43170327,43044295,minus,NM_001407848.1,10,43091032,43090944,89
213,BRCA1,672,43170327,43044295,minus,NM_001407848.1,11,43082572,43082404,169
214,BRCA1,672,43170327,43044295,minus,NM_001407848.1,12,43076614,43076488,127
215,BRCA1,672,43170327,43044295,minus,NM_001407848.1,13,43074521,43074331,191
216,BRCA1,672,43170327,43044295,minus,NM_001407848.1,14,43071238,43070928,311
217,BRCA1,672,43170327,43044295,minus,NM_001407848.1,15,43067695,43067608,88
218,BRCA1,672,43170327,43044295,minus,NM_001407848.1,16,43063951,43063874,78
219,BRCA1,672,43170327,43044295,minus,NM_001407848.1,17,43063373,43063333,41
220,BRCA1,672,43170327,43044295,minus,NM_001407848.1,18,43057135,43057052,84
221,BRCA1,672,43170327,43044295,minus,NM_001407848.1,19,43051117,43051063,55
222,BRCA1,672,43170327,43044295,minus,NM_001407848.1,20,43049194,43049121,74
223,BRCA1,672,43170327,43044295,minus,NM_001407848.1,21,43047703,43047643,61
224,BRCA1,672,43170327,43044295,minus,NM_001407848.1,22,43045802,43044295,1508
225,BRCA1,672,43170327,43044295,minus,NM_001407839.1,1,43125364,43125277,88
226,BRCA1,672,43170327,43044295,minus,NM_001407839.1,2,43115779,43115726,54
227,BRCA1,672,43170327,43044295,minus,NM_001407839.1,3,43106533,43106456,78
228,BRCA1,672,43170327,43044295,minus,NM_001407839.1,4,43104956,43104868,89
229,BRCA1,672,43170327,43044295,minus,NM_001407839.1,5,43104261,43104122,140
230,BRCA1,672,43170327,43044295,minus,NM_001407839.1,6,43099877,43099775,103
231,BRCA1,672,43170327,43044295,minus,NM_001407839.1,7,43097289,43097244,46
232,BRCA1,672,43170327,43044295,minus,NM_001407839.1,8,43095922,43095846,77
233,BRCA1,672,43170327,43044295,minus,NM_001407839.1,9,43094860,43091435,3426
234,BRCA1,672,43170327,43044295,minus,NM_001407839.1,10,43091032,43090944,89
235,BRCA1,672,43170327,43044295,minus,NM_001407839.1,11,43082575,43082404,172
236,BRCA1,672,43170327,43044295,minus,NM_001407839.1,12,43076611,43076488,124
237,BRCA1,672,43170327,43044295,minus,NM_001407839.1,13,43074521,43074331,191
238,BRCA1,672,43170327,43044295,minus,NM_001407839.1,14,43071238,43070928,311
239,BRCA1,672,43170327,43044295,minus,NM_001407839.1,15,43067695,43067608,88
240,BRCA1,672,43170327,43044295,minus,NM_001407839.1,16,43063951,43063874,78
241,BRCA1,672,43170327,43044295,minus,NM_001407839.1,17,43063373,43063333,41
242,BRCA1,672,43170327,43044295,minus,NM_001407839.1,18,43057135,43057052,84
243,BRCA1,672,43170327,43044295,minus,NM_001407839.1,19,43051117,43051063,55
244,BRCA1,672,43170327,43044295,minus,NM_001407839.1,20,43049194,43049121,74
245,BRCA1,672,43170327,43044295,minus,NM_001407839.1,21,43047703,43047643,61
246,BRCA1,672,43170327,43044295,minus,NM_001407839.1,22,43045802,43044295,1508
247,BRCA1,672,43170327,43044295,minus,NM_001407745.1,1,43125364,43125277,88
248,BRCA1,672,43170327,43044295,minus,NM_001407745.1,2,43115779,43115726,54
249,BRCA1,672,43170327,43044295,minus,NM_001407745.1,3,43106533,43106456,78
250,BRCA1,672,43170327,43044295,minus,NM_001407745.1,4,43104956,43104868,89
251,BRCA1,672,43170327,43044295,minus,NM_001407745.1,5,43104261,43104122,140
252,BRCA1,672,43170327,43044295,minus,NM_001407745.1,6,43099877,43099775,103
253,BRCA1,672,43170327,43044295,minus,NM_001407745.1,7,43097289,43097244,46
254,BRCA1,672,43170327,43044295,minus,NM_001407745.1,8,43095922,43095846,77
255,BRCA1,672,43170327,43044295,minus,NM_001407745.1,9,43094860,43091435,3426
256,BRCA1,672,43170327,43044295,minus,NM_001407745.1,10,43091032,43090944,89
257,BRCA1,672,43170327,43044295,minus,NM_001407745.1,11,43082575,43082404,172
258,BRCA1,672,43170327,43044295,minus,NM_001407745.1,12,43076614,43076488,127
259,BRCA1,672,43170327,43044295,minus,NM_001407745.1,13,43074521,43074331,191
260,BRCA1,672,43170327,43044295,minus,NM_001407745.1,14,43071238,43070928,311
261,BRCA1,672,43170327,43044295,minus,NM_001407745.1,15,43067695,43067608,88
262,BRCA1,672,43170327,43044295,minus,NM_001407745.1,16,43063951,43063874,78
263,BRCA1,672,43170327,43044295,minus,NM_001407745.1,17,43063373,43063333,41
264,BRCA1,672,43170327,43044295,minus,NM_001407745.1,18,43057135,43057052,84
265,BRCA1,672,43170327,43044295,minus,NM_001407745.1,19,43051117,43051063,55
266,BRCA1,672,43170327,43044295,minus,NM_001407745.1,20,43049194,43049121,74
267,BRCA1,672,43170327,43044295,minus,NM_001407745.1,21,43047703,43047643,61
268,BRCA1,672,43170327,43044295,minus,NM_001407745.1,22,43045802,43044295,1508
269,BRCA1,672,43170327,43044295,minus,NM_001407922.1,1,43125364,43125277,88
270,BRCA1,672,43170327,43044295,minus,NM_001407922.1,2,43115779,43115726,54
271,BRCA1,672,43170327,43044295,minus,NM_001407922.1,3,43106533,43106456,78
272,BRCA1,672,43170327,43044295,minus,NM_001407922.1,4,43104956,43104868,89
273,BRCA1,672,43170327,43044295,minus,NM_001407922.1,5,43104261,43104122,140
274,BRCA1,672,43170327,43044295,minus,NM_001407922.1,6,43099880,43099775,106
275,BRCA1,672,43170327,43044295,minus,NM_001407922.1,7,43094860,43091435,3426
276,BRCA1,672,43170327,43044295,minus,NM_001407922.1,8,43091032,43090944,89
277,BRCA1,672,43170327,43044295,minus,NM_001407922.1,9,43082575,43082404,172
278,BRCA1,672,43170327,43044295,minus,NM_001407922.1,10,43076614,43076488,127
279,BRCA1,672,43170327,43044295,minus,NM_001407922.1,11,43074521,43074331,191
280,BRCA1,672,43170327,43044295,minus,NM_001407922.1,12,43071238,43070928,311
281,BRCA1,672,43170327,43044295,minus,NM_001407922.1,13,43067695,43067608,88
282,BRCA1,672,43170327,43044295,minus,NM_001407922.1,14,43063951,43063874,78
283,BRCA1,672,43170327,43044295,minus,NM_001407922.1,15,43063373,43063333,41
284,BRCA1,672,43170327,43044295,minus,NM_001407922.1,16,43057135,43057052,84
285,BRCA1,672,43170327,43044295,minus,NM_001407922.1,17,43051117,43051063,55
286,BRCA1,672,43170327,43044295,minus,NM_001407922.1,18,43049194,43049121,74
287,BRCA1,672,43170327,43044295,minus,NM_001407922.1,19,43047703,43047643,61
288,BRCA1,672,43170327,43044295,minus,NM_001407922.1,20,43045802,43044295,1508
289,BRCA1,672,43170327,43044295,minus,NM_001408469.1,1,43125364,43125277,88
290,BRCA1,672,43170327,43044295,minus,NM_001408469.1,2,43115779,43115726,54
291,BRCA1,672,43170327,43044295,minus,NM_001408469.1,3,43106533,43106456,78
292,BRCA1,672,43170327,43044295,minus,NM_001408469.1,4,43104956,43104868,89
293,BRCA1,672,43170327,43044295,minus,NM_001408469.1,5,43104261,43104122,140
294,BRCA1,672,43170327,43044295,minus,NM_001408469.1,6,43099880,43099775,106
295,BRCA1,672,43170327,43044295,minus,NM_001408469.1,7,43097289,43097244,46
296,BRCA1,672,43170327,43044295,minus,NM_001408469.1,8,43095922,43095846,77
297,BRCA1,672,43170327,43044295,minus,NM_001408469.1,9,43094860,43094744,117
298,BRCA1,672,43170327,43044295,minus,NM_001408469.1,10,43091032,43090944,89
299,BRCA1,672,43170327,43044295,minus,NM_001408469.1,11,43082572,43082404,169
300,BRCA1,672,43170327,43044295,minus,NM_001408469.1,12,43076611,43076488,124
301,BRCA1,672,43170327,43044295,minus,NM_001408469.1,13,43074521,43074331,191
302,BRCA1,672,43170327,43044295,minus,NM_001408469.1,14,43071238,43070928,311
303,BRCA1,672,43170327,43044295,minus,NM_001408469.1,15,43067695,43067608,88
304,BRCA1,672,43170327,43044295,minus,NM_001408469.1,16,43063951,43063874,78
305,BRCA1,672,43170327,43044295,minus,NM_001408469.1,17,43063373,43063333,41
306,BRCA1,672,43170327,43044295,minus,NM_001408469.1,18,43057135,43057052,84
307,BRCA1,672,43170327,43044295,minus,NM_001408469.1,19,43051117,43051063,55
308,BRCA1,672,43170327,43044295,minus,NM_001408469.1,20,43049194,43049121,74
309,BRCA1,672,43170327,43044295,minus,NM_001408469.1,21,43047703,43047643,61
310,BRCA1,672,43170327,43044295,minus,NM_001408469.1,22,43045802,43044295,1508
311,BRCA1,672,43170327,43044295,minus,NM_001408453.1,1,43125364,43125277,88
312,BRCA1,672,43170327,43044295,minus,NM_001408453.1,2,43115779,43115726,54
313,BRCA1,672,43170327,43044295,minus,NM_001408453.1,3,43106533,43106456,78
314,BRCA1,672,43170327,43044295,minus,NM_001408453.1,4,43104956,43104868,89
315,BRCA1,672,43170327,43044295,minus,NM_001408453.1,5,43104261,43104122,140
316,BRCA1,672,43170327,43044295,minus,NM_001408453.1,6,43099880,43099775,106
317,BRCA1,672,43170327,43044295,minus,NM_001408453.1,7,43097289,43097244,46
318,BRCA1,672,43170327,43044295,minus,NM_001408453.1,8,43095922,43095846,77
319,BRCA1,672,43170327,43044295,minus,NM_001408453.1,9,43094860,43094744,117
320,BRCA1,672,43170327,43044295,minus,NM_001408453.1,10,43091032,43090944,89
321,BRCA1,672,43170327,43044295,minus,NM_001408453.1,11,43082575,43082404,172
322,BRCA1,672,43170327,43044295,minus,NM_001408453.1,12,43076614,43076488,127
323,BRCA1,672,43170327,43044295,minus,NM_001408453.1,13,43074521,43074331,191
324,BRCA1,672,43170327,43044295,minus,NM_001408453.1,14,43071238,43070928,311
325,BRCA1,672,43170327,43044295,minus,NM_001408453.1,15,43067695,43067608,88
326,BRCA1,672,43170327,43044295,minus,NM_001408453.1,16,43063951,43063874,78
327,BRCA1,672,43170327,43044295,minus,NM_001408453.1,17,43063373,43063333,41
328,BRCA1,672,43170327,43044295,minus,NM_001408453.1,18,43057135,43057052,84
329,BRCA1,672,43170327,43044295,minus,NM_001408453.1,19,43051117,43051063,55
330,BRCA1,672,43170327,43044295,minus,NM_001408453.1,20,43049194,43049121,74
